id,area,name,type,age,lon,lat
2-11,穂高,耳塚遺跡,集落跡,古墳前期,137.867413,36.35740416
2-21,穂高,堰下遺跡,集落跡,古墳,137.8386972,36.3160085
2-30,穂高,貝梅道下遺跡,集落跡,古墳,137.8811645,36.34822614
2-31,穂高,辻遺跡,集落跡,古墳,137.880175,36.34475092
2-37,穂高,北才の神遺跡,集落跡,古墳後期,137.8918703,36.33630982
2-38,穂高,藤塚遺跡,集落跡,古墳後期,137.8917821,36.33424208
2-44,穂高,長者池遺跡,集落跡,古墳,137.8855638,36.32927409
2-47,穂高,三枚橋遺跡,集落跡,古墳,137.8910826,36.33031489
2-48,穂高,矢原五輪畑遺跡,集落跡,古墳,137.8956091,36.32483211
2-51,穂高,四反田遺跡,集落跡,古墳後期,137.8923523,36.32460465
2-53,穂高,馬場街道遺跡,集落跡,古墳,137.8991881,36.3238587
2-57,穂高,柏原遺跡,集落跡,古墳後期,137.8854301,36.32638341
2-58,穂高,中在地遺跡,集落跡,古墳,137.8961469,36.32270425
3-41,三郷,山の越遺跡,散布地,古墳,137.8400527,36.25720341
3-7,三郷,アルプス学園前古墳,古墳?,古墳,137.8625057,36.25707204
5-411,明科,明科遺跡群栄町遺跡,集落跡,古墳,137.9312312,36.3554573
5-412,明科,明科遺跡群龍門淵遺跡,集落跡,古墳,137.9261398,36.35627675
5-419,明科,武士平遺跡,散布地,古墳,137.9397645,36.35470656
5-517,明科,上生野遺跡,集落跡,古墳,137.9269684,36.37843018
ID-101,池田町,大林遺跡,散布地,古墳,137.9042027,36.41156389
ID-110,池田町,万海塚遺跡,散布地,古墳,137.8937893,36.38136732
ID-96,池田町,境原遺跡,散布地,古墳,137.9026225,36.4176945
MM-92,松本市,平瀬遺跡,散布地,古墳,137.941296,36.26071466
